ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-12-06,18.352356162096847,17.298715402195423,20.961002475968712,18.352356162096847,18.352356162096847,0.8627082455037264,0.8627082455037264,0.8627082455037264,-0.18066258325874474,-0.18066258325874474,-0.18066258325874474,1.0433708287624712,1.0433708287624712,1.0433708287624712,0.0,0.0,0.0,19.215064407600572
2019-12-09,18.312851647089374,17.292451469983845,20.806927761239905,18.312851647089374,18.312851647089374,0.7720763171091202,0.7720763171091202,0.7720763171091202,-0.2012360223230771,-0.2012360223230771,-0.2012360223230771,0.9733123394321972,0.9733123394321972,0.9733123394321972,0.0,0.0,0.0,19.084927964198496
2019-12-10,18.299683475420217,17.273831459057867,20.778625279405052,18.299683475420217,18.299683475420217,0.7584771100739848,0.7584771100739848,0.7584771100739848,-0.17314662172244966,-0.17314662172244966,-0.17314662172244966,0.9316237317964345,0.9316237317964345,0.9316237317964345,0.0,0.0,0.0,19.058160585494203
2019-12-11,18.28651530375106,17.199261057044303,20.679579563573515,18.28651530375106,18.28651530375106,0.6523756942085813,0.6523756942085813,0.6523756942085813,-0.22935210179149673,-0.22935210179149673,-0.22935210179149673,0.8817277960000781,0.8817277960000781,0.8817277960000781,0.0,0.0,0.0,18.93889099795964
2019-12-12,18.273347132081902,17.07529547459974,20.78250415013441,18.273347132081902,18.273347132081902,0.6056988151393743,0.6056988151393743,0.6056988151393743,-0.21873664759086153,-0.21873664759086153,-0.21873664759086153,0.8244354627302358,0.8244354627302358,0.8244354627302358,0.0,0.0,0.0,18.879045947221275
2019-12-13,18.26017896041274,17.071344262167084,20.53567275644111,18.26017896041274,18.26017896041274,0.5800334956547126,0.5800334956547126,0.5800334956547126,-0.1806625832576219,-0.1806625832576219,-0.1806625832576219,0.7606960789123345,0.7606960789123345,0.7606960789123345,0.0,0.0,0.0,18.840212456067455
2019-12-16,18.22067444540527,16.814598334154947,20.332478247653317,18.22067444540527,18.22067444540527,0.3407568144297076,0.3407568144297076,0.3407568144297076,-0.20123602232206753,-0.20123602232206753,-0.20123602232206753,0.5419928367517751,0.5419928367517751,0.5419928367517751,0.0,0.0,0.0,18.561431259834976
2019-12-17,18.20750627373611,16.805742644748733,20.22036539645844,18.20750627373611,18.20750627373611,0.2909374088024287,0.2909374088024287,0.2909374088024287,-0.17314662172259976,-0.17314662172259976,-0.17314662172259976,0.46408403052502845,0.46408403052502845,0.46408403052502845,0.0,0.0,0.0,18.49844368253854
2019-12-18,18.19433810206695,16.527931579798764,20.073050687932277,18.19433810206695,18.19433810206695,0.1565254301183808,0.1565254301183808,0.1565254301183808,-0.22935210179150278,-0.22935210179150278,-0.22935210179150278,0.38587753190988355,0.38587753190988355,0.38587753190988355,0.0,0.0,0.0,18.350863532185333
2019-12-19,18.181169930397797,16.62516913848103,20.033439210030306,18.181169930397797,18.181169930397797,0.08998568741336312,0.08998568741336312,0.08998568741336312,-0.21873664759068553,-0.21873664759068553,-0.21873664759068553,0.30872233500404866,0.30872233500404866,0.30872233500404866,0.0,0.0,0.0,18.27115561781116
2019-12-20,18.16800175872864,16.51648371434759,20.019178506432425,18.16800175872864,18.16800175872864,0.053286011433011315,0.053286011433011315,0.053286011433011315,-0.18066258325768947,-0.18066258325768947,-0.18066258325768947,0.23394859469070078,0.23394859469070078,0.23394859469070078,0.0,0.0,0.0,18.221287770161652
2019-12-23,18.128497243721164,16.264799869481212,19.769705732165235,18.128497243721164,18.128497243721164,-0.1648227490344163,-0.1648227490344163,-0.1648227490344163,-0.20123602232253637,-0.20123602232253637,-0.20123602232253637,0.03641327328812009,0.03641327328812009,0.03641327328812009,0.0,0.0,0.0,17.963674494686746
2019-12-26,18.08899272871369,15.926664441675053,19.424037971749804,18.08899272871369,18.08899272871369,-0.3173925960811787,-0.3173925960811787,-0.3173925960811787,-0.21873664759094696,-0.21873664759094696,-0.21873664759094696,-0.09865594849023178,-0.09865594849023178,-0.09865594849023178,0.0,0.0,0.0,17.771600132632514
2019-12-27,18.07582455704453,15.956052557080636,19.452689392263938,18.07582455704453,18.07582455704453,-0.30670596456834953,-0.30670596456834953,-0.30670596456834953,-0.18066258325775703,-0.18066258325775703,-0.18066258325775703,-0.12604338131059248,-0.12604338131059248,-0.12604338131059248,0.0,0.0,0.0,17.769118592476183
2019-12-30,18.036320042037058,16.066777668514995,19.45288329732341,18.036320042037058,18.036320042037058,-0.35079128513849267,-0.35079128513849267,-0.35079128513849267,-0.20123602232202892,-0.20123602232202892,-0.20123602232202892,-0.14955526281646372,-0.14955526281646372,-0.14955526281646372,0.0,0.0,0.0,17.685528756898567
2020-01-02,17.996815527029582,16.03612238448749,19.40099026164811,17.996815527029582,17.996815527029582,-0.30423736458162093,-0.30423736458162093,-0.30423736458162093,-0.21873664759077102,-0.21873664759077102,-0.21873664759077102,-0.0855007169908499,-0.0855007169908499,-0.0855007169908499,0.0,0.0,0.0,17.692578162447962
2020-01-03,17.983647355360425,16.002553054515815,19.418482064942474,17.983647355360425,17.983647355360425,-0.22698981935949514,-0.22698981935949514,-0.22698981935949514,-0.18066258325663426,-0.18066258325663426,-0.18066258325663426,-0.04632723610286083,-0.04632723610286083,-0.04632723610286083,0.0,0.0,0.0,17.75665753600093
2020-01-06,17.94414284035295,16.054887197485687,19.5554166791785,17.94414284035295,17.94414284035295,-0.08647397172313195,-0.08647397172313195,-0.08647397172313195,-0.20123602232249782,-0.20123602232249782,-0.20123602232249782,0.11476205059936584,0.11476205059936584,0.11476205059936584,0.0,0.0,0.0,17.85766886862982
2020-01-07,17.930974668683795,16.23788365706937,19.69547003572172,17.930974668683795,17.930974668683795,0.0067641142877359235,0.0067641142877359235,0.0067641142877359235,-0.17314662172320427,-0.17314662172320427,-0.17314662172320427,0.17991073601094018,0.17991073601094018,0.17991073601094018,0.0,0.0,0.0,17.937738782971532
2020-01-08,17.917806497014634,16.157856929712683,19.57472454170122,17.917806497014634,17.917806497014634,0.019720589682842467,0.019720589682842467,0.019720589682842467,-0.22935210179159568,-0.22935210179159568,-0.22935210179159568,0.2490726914744382,0.2490726914744382,0.2490726914744382,0.0,0.0,0.0,17.937527086697475
2020-01-09,17.904638325345477,16.169348997020013,19.760860425114053,17.904638325345477,17.904638325345477,0.10242320765326865,0.10242320765326865,0.10242320765326865,-0.21873664759096675,-0.21873664759096675,-0.21873664759096675,0.3211598552442354,0.3211598552442354,0.3211598552442354,0.0,0.0,0.0,18.007061532998744
2020-01-10,17.89147015367632,16.317236285007795,19.905567879069757,17.89147015367632,17.89147015367632,0.21441276368780332,0.21441276368780332,0.21441276368780332,-0.18066258325886148,-0.18066258325886148,-0.18066258325886148,0.39507534694666485,0.39507534694666485,0.39507534694666485,0.0,0.0,0.0,18.105882917364124
2020-01-13,17.851965638668844,16.553316680925686,19.971878767993424,17.851965638668844,17.851965638668844,0.415909720478566,0.415909720478566,0.415909720478566,-0.2012360223224644,-0.2012360223224644,-0.2012360223224644,0.6171457428010304,0.6171457428010304,0.6171457428010304,0.0,0.0,0.0,18.26787535914741
2020-01-14,17.838797466999686,16.728788312756958,20.046238513657507,17.838797466999686,17.838797466999686,0.514829779533158,0.514829779533158,0.514829779533158,-0.1731466217227965,-0.1731466217227965,-0.1731466217227965,0.6879764012559545,0.6879764012559545,0.6879764012559545,0.0,0.0,0.0,18.353627246532845
2020-01-15,17.825629295330533,16.706135025431557,20.105397640670507,17.825629295330533,17.825629295330533,0.5263940379291263,0.5263940379291263,0.5263940379291263,-0.22935210179147472,-0.22935210179147472,-0.22935210179147472,0.755746139720601,0.755746139720601,0.755746139720601,0.0,0.0,0.0,18.35202333325966
2020-01-16,17.81246112366137,16.69996232430732,20.126558820522646,17.81246112366137,17.81246112366137,0.6009820357726429,0.6009820357726429,0.6009820357726429,-0.21873664759116246,-0.21873664759116246,-0.21873664759116246,0.8197186833638055,0.8197186833638055,0.8197186833638055,0.0,0.0,0.0,18.413443159434014
2020-01-17,17.799292951992214,16.69995821253264,20.15705531556519,17.799292951992214,17.799292951992214,0.6986058922419437,0.6986058922419437,0.6986058922419437,-0.18066258325833384,-0.18066258325833384,-0.18066258325833384,0.8792684755002773,0.8792684755002773,0.8792684755002773,0.0,0.0,0.0,18.497898844234157
2020-01-20,17.759788436984742,16.993925887333972,20.38060015435031,17.759788436984742,17.759788436984742,0.82568613000244,0.82568613000244,0.82568613000244,-0.20123602232343543,-0.20123602232343543,-0.20123602232343543,1.0269221523258754,1.0269221523258754,1.0269221523258754,0.0,0.0,0.0,18.58547456698718
2020-01-21,17.74662026531558,16.771619382596903,20.311325421291503,17.74662026531558,17.74662026531558,0.8917912023305387,0.8917912023305387,0.8917912023305387,-0.17314662172286333,-0.17314662172286333,-0.17314662172286333,1.0649378240534018,1.0649378240534018,1.0649378240534018,0.0,0.0,0.0,18.63841146764612
2020-01-22,17.733452093646424,16.792924458881163,20.365132859094665,17.733452093646424,17.733452093646424,0.8678680903495526,0.8678680903495526,0.8678680903495526,-0.22935210179155535,-0.22935210179155535,-0.22935210179155535,1.0972201921411082,1.0972201921411082,1.0972201921411082,0.0,0.0,0.0,18.601320183995977
2020-01-23,17.685782312387587,17.014389416787125,20.313705473600507,17.685782312387587,17.685782312387587,0.9051242687645293,0.9051242687645293,0.9051242687645293,-0.2187366475913582,-0.2187366475913582,-0.2187366475913582,1.1238609163558875,1.1238609163558875,1.1238609163558875,0.0,0.0,0.0,18.590906581152115
2020-01-24,17.63811253112875,16.83218314783856,20.30834203070468,17.63811253112875,17.63811253112875,0.9643911851885639,0.9643911851885639,0.9643911851885639,-0.18066258325840137,-0.18066258325840137,-0.18066258325840137,1.1450537684469653,1.1450537684469653,1.1450537684469653,0.0,0.0,0.0,18.602503716317315
2020-01-27,17.495103187352225,16.849289943627365,20.164029207535023,17.495103187352225,17.495103187352225,0.9779289525645526,0.9779289525645526,0.9779289525645526,-0.20123602232340207,-0.20123602232340207,-0.20123602232340207,1.179164974887955,1.179164974887955,1.179164974887955,0.0,0.0,0.0,18.47303213991678
2020-01-28,17.44743340609339,16.705423043659895,20.17773392250216,17.44743340609339,17.44743340609339,1.0089699890193384,1.0089699890193384,1.0089699890193384,-0.17314662172269288,-0.17314662172269288,-0.17314662172269288,1.1821166107420313,1.1821166107420313,1.1821166107420313,0.0,0.0,0.0,18.456403395112726
2020-01-29,17.39976362483454,16.55313324678096,20.162133796392,17.39976362483454,17.39976362483454,0.95232076971297,0.95232076971297,0.95232076971297,-0.22935210179148688,-0.22935210179148688,-0.22935210179148688,1.1816728715044569,1.1816728715044569,1.1816728715044569,0.0,0.0,0.0,18.35208439454751
2020-01-30,17.352093843575705,16.456301872685714,20.04044138998321,17.352093843575705,17.352093843575705,0.9596197651242235,0.9596197651242235,0.9596197651242235,-0.2187366475911822,-0.2187366475911822,-0.2187366475911822,1.1783564127154056,1.1783564127154056,1.1783564127154056,0.0,0.0,0.0,18.31171360869993
2020-01-31,17.30442406231687,16.52037156319137,20.104700700792897,17.30442406231687,17.30442406231687,0.992028272912691,0.992028272912691,0.992028272912691,-0.18066258325943818,-0.18066258325943818,-0.18066258325943818,1.1726908561721292,1.1726908561721292,1.1726908561721292,0.0,0.0,0.0,18.29645233522956
2020-02-03,17.16141471854034,16.373004817812916,19.744993987836086,17.16141471854034,17.16141471854034,0.9453106292100818,0.9453106292100818,0.9453106292100818,-0.20123602232191845,-0.20123602232191845,-0.20123602232191845,1.1465466515320002,1.1465466515320002,1.1465466515320002,0.0,0.0,0.0,18.10672534775042
2020-02-04,17.113744937281503,16.343407293300046,19.90466767563008,17.113744937281503,17.113744937281503,0.9630990269484797,0.9630990269484797,0.9630990269484797,-0.1731466217225225,-0.1731466217225225,-0.1731466217225225,1.1362456486710022,1.1362456486710022,1.1362456486710022,0.0,0.0,0.0,18.076843964229983
2020-02-05,17.066075156022656,16.246085472310305,19.679231218024754,17.066075156022656,17.066075156022656,0.8964003783128828,0.8964003783128828,0.8964003783128828,-0.22935210179156762,-0.22935210179156762,-0.22935210179156762,1.1257524801044503,1.1257524801044503,1.1257524801044503,0.0,0.0,0.0,17.96247553433554
2020-02-06,17.01840537476381,16.194806788208005,19.65145354264953,17.01840537476381,17.01840537476381,0.8965955596072591,0.8965955596072591,0.8965955596072591,-0.21873664759113767,-0.21873664759113767,-0.21873664759113767,1.1153322071983967,1.1153322071983967,1.1153322071983967,0.0,0.0,0.0,17.91500093437107
2020-02-07,16.970735593504983,16.133164967790936,19.709356380158447,16.970735593504983,16.970735593504983,0.9245159833656312,0.9245159833656312,0.9245159833656312,-0.18066258325950582,-0.18066258325950582,-0.18066258325950582,1.105178566625137,1.105178566625137,1.105178566625137,0.0,0.0,0.0,17.895251576870614
2020-02-10,16.827726249728446,15.927111616657463,19.362648444116456,16.827726249728446,16.827726249728446,0.8759094950461789,0.8759094950461789,0.8759094950461789,-0.20123602232188506,-0.20123602232188506,-0.20123602232188506,1.077145517368064,1.077145517368064,1.077145517368064,0.0,0.0,0.0,17.703635744774626
2020-02-11,16.78005646846962,15.966875190614912,19.432723074068306,16.78005646846962,16.78005646846962,0.8953766303804087,0.8953766303804087,0.8953766303804087,-0.1731466217229932,-0.1731466217229932,-0.1731466217229932,1.0685232521034023,1.0685232521034023,1.0685232521034023,0.0,0.0,0.0,17.67543309885003
2020-02-12,16.732386687210774,15.739803363139195,19.314490914437105,16.732386687210774,16.732386687210774,0.8306971597276387,0.8306971597276387,0.8306971597276387,-0.22935210179164828,-0.22935210179164828,-0.22935210179164828,1.0600492615192871,1.0600492615192871,1.0600492615192871,0.0,0.0,0.0,17.56308384693841
2020-02-13,16.684716905951927,15.722506082270884,19.29681655362129,16.684716905951927,16.684716905951927,0.8327701201101071,0.8327701201101071,0.8327701201101071,-0.2187366475909617,-0.2187366475909617,-0.2187366475909617,1.0515067677010688,1.0515067677010688,1.0515067677010688,0.0,0.0,0.0,17.517487026062035
2020-02-14,16.63704712469309,15.886916336078635,19.323475342025525,16.63704712469309,16.63704712469309,0.8619680048186364,0.8619680048186364,0.8619680048186364,-0.18066258325897816,-0.18066258325897816,-0.18066258325897816,1.0426305880776148,1.0426305880776148,1.0426305880776148,0.0,0.0,0.0,17.499015129511726
2020-02-17,16.49403778091657,15.599362624879024,19.134050946671486,16.49403778091657,16.49403778091657,0.8095883953195863,0.8095883953195863,0.8095883953195863,-0.20123602232285612,-0.20123602232285612,-0.20123602232285612,1.0108244176424424,1.0108244176424424,1.0108244176424424,0.0,0.0,0.0,17.303626176236158
2020-02-18,16.446367999657724,15.58445122847512,19.089448323700438,16.446367999657724,16.446367999657724,0.8241899844044817,0.8241899844044817,0.8241899844044817,-0.1731466217230601,-0.1731466217230601,-0.1731466217230601,0.9973366061275417,0.9973366061275417,0.9973366061275417,0.0,0.0,0.0,17.270557984062204
2020-02-19,16.398698218398888,15.336790847505506,18.810280838915705,16.398698218398888,16.398698218398888,0.7524608833272793,0.7524608833272793,0.7524608833272793,-0.22935210179157978,-0.22935210179157978,-0.22935210179157978,0.9818129851188592,0.9818129851188592,0.9818129851188592,0.0,0.0,0.0,17.15115910172617
2020-02-20,16.35102843714004,15.21678122423655,18.729156934187507,16.35102843714004,16.35102843714004,0.7451755930416708,0.7451755930416708,0.7451755930416708,-0.21873664759115743,-0.21873664759115743,-0.21873664759115743,0.9639122406328283,0.9639122406328283,0.9639122406328283,0.0,0.0,0.0,17.096204030181713
2020-02-21,16.303358655881205,15.259693297585192,18.90183853886692,16.303358655881205,16.303358655881205,0.7626540428969969,0.7626540428969969,0.7626540428969969,-0.18066258325845053,-0.18066258325845053,-0.18066258325845053,0.9433166261554474,0.9433166261554474,0.9433166261554474,0.0,0.0,0.0,17.066012698778202
2020-02-26,16.065009749586995,14.933376417475053,18.43109228995062,16.065009749586995,16.065009749586995,0.5621227376148089,0.5621227376148089,0.5621227376148089,-0.2293521017916605,-0.2293521017916605,-0.2293521017916605,0.7914748394064693,0.7914748394064693,0.7914748394064693,0.0,0.0,0.0,16.627132487201806
2020-02-27,16.01733996832816,14.773838595735212,18.3262227499494,16.01733996832816,16.01733996832816,0.5316013424026564,0.5316013424026564,0.5316013424026564,-0.2187366475903695,-0.2187366475903695,-0.2187366475903695,0.7503379899930261,0.7503379899930261,0.7503379899930261,0.0,0.0,0.0,16.548941310730815
2020-02-28,15.969670187069323,14.891426347410729,18.25801890498208,15.969670187069323,15.969670187069323,0.5248813550283546,0.5248813550283546,0.5248813550283546,-0.18066258325792292,-0.18066258325792292,-0.18066258325792292,0.7055439382862774,0.7055439382862774,0.7055439382862774,0.0,0.0,0.0,16.49455154209768
2020-03-02,15.826660843292803,14.436404731010903,17.8438129285427,15.826660843292803,15.826660843292803,0.3491748945709843,0.3491748945709843,0.3491748945709843,-0.2012360223232916,-0.2012360223232916,-0.2012360223232916,0.5504109168942758,0.5504109168942758,0.5504109168942758,0.0,0.0,0.0,16.17583573786379
2020-03-03,15.778991062033956,14.389588516212294,17.794003951156313,15.778991062033956,15.778991062033956,0.3193150260388107,0.3193150260388107,0.3193150260388107,-0.1731466217227192,-0.1731466217227192,-0.1731466217227192,0.49246164776152984,0.49246164776152984,0.49246164776152984,0.0,0.0,0.0,16.098306088072768
